"values_r","values_R_consensus","values_R_hzi"
-0.353,0.0169405621107219,0.000164187967371371
-0.352,0.0173237745457057,0.000170540854848032
-0.351,0.0177148038283926,0.000177133820450048
-0.35,0.0181137811745254,0.00018397566045429
-0.349,0.018520839093778,0.00019107548006768
-0.348,0.0189361113729468,0.00019844270362987
-0.347,0.0193597330579957,0.000206087085121433
-0.346,0.0197918404349303,0.00021401871898516
-0.345,0.0202325710094908,0.000222248051268193
-0.344,0.0206820634856395,0.000230785891092812
-0.343,0.0211404577428321,0.000239643422463808
-0.342,0.0216078948120544,0.000248832216420479
-0.341,0.022084516850611,0.000258364243541389
-0.34,0.0225704671156523,0.000268251886810099
-0.339,0.0230658899364281,0.000278507954850206
-0.338,0.023570930685254,0.000289145695538082
-0.337,0.0240857357471838,0.000300178810001798
-0.336,0.0246104524883759,0.000311621467014789
-0.335,0.0251452292231465,0.000323488317792884
-0.334,0.0256902151797041,0.000335794511203381
-0.333,0.0262455604645586,0.000348555709394908
-0.332,0.0268114160256014,0.000361788103856861
-0.331,0.0273879336138554,0.00037550843191722
-0.33,0.0279752657438903,0.000389733993687621
-0.329,0.0285735656529091,0.000404482669464525
-0.328,0.0291829872585022,0.000419772937595384
-0.327,0.0298036851150775,0.000435623892818669
-0.326,0.0304358143689685,0.00045205526508663
-0.325,0.0310795307122299,0.000469087438879623
-0.324,0.031734990335128,0.000486741473020815
-0.323,0.0324023498773376,0.000505039121000003
-0.322,0.033081766377857,0.000524002851815255
-0.321,0.0337733972236557,0.00054365587134096
-0.32,0.0344774000970731,0.000564022144230819
-0.319,0.0351939329219814,0.000585126416364158
-0.318,0.0359231538087394,0.000606994237843852
-0.317,0.0366652209979538,0.000629651986553986
-0.316,0.0374202928030752,0.000653126892285199
-0.315,0.038188527551855,0.000677447061435509
-0.314,0.0389700835266884,0.000702641502294172
-0.313,0.0397651189038783,0.000728740150915939
-0.312,0.0405737916918495,0.000755773897592791
-0.311,0.0413962596683474,0.000783774613929988
-0.31,0.0422326803166592,0.000812775180532958
-0.309,0.0430832107608957,0.000842809515311242
-0.308,0.0439480077003741,0.000873912602405344
-0.307,0.0448272273431433,0.000906120521742001
-0.306,0.0457210253386984,0.000939470479222926
-0.305,0.0466295567099294,0.000974000837551731
-0.304,0.0475529757843541,0.00100975114770319
-0.303,0.0484914361246835,0.00104676218103859
-0.302,0.0494450904587746,0.00108507596207034
-0.301,0.0504140906090235,0.00112473580187846
-0.3,0.0513985874212544,0.00116578633218112
-0.299,0.0523987306931651,0.00120827354006044
-0.298,0.0534146691023831,0.00125224480334461
-0.297,0.0544465501342007,0.00129774892664623
-0.296,0.0554945200090451,0.00134483617805621
-0.295,0.0565587236097519,0.00139355832649209
-0.294,0.0576393044087067,0.00144396867969825
-0.293,0.0587364043949208,0.0014961221228952
-0.292,0.0598501640011101,0.00155007515807397
-0.291,0.0609807220308482,0.00160588594393073
-0.29,0.0621282155858595,0.0016636143364359
-0.289,0.0632927799935305,0.00172332193003097
-0.288,0.0644745487347053,0.00178507209944506
-0.287,0.0656736533718428,0.00184893004212252
-0.286,0.0668902234776081,0.00191496282125135
-0.285,0.0681243865639706,0.00198323940938132
-0.284,0.0693762680118871,0.00205383073261936
-0.283,0.0706459910016425,0.00212680971538855
-0.282,0.0719336764439239,0.00220225132573572
-0.281,0.0732394429117036,0.00228023262117146
-0.28,0.0745634065730066,0.0023608327950248
-0.279,0.0759056811246376,0.0024441332232934
-0.278,0.0772663777269416,0.00253021751196896
-0.277,0.0786456049396733,0.00261917154481551
-0.276,0.0800434686590478,0.00271108353157719
-0.275,0.0814600720560487,0.00280604405659035
-0.274,0.0828955155160608,0.00290414612777316
-0.273,0.0843498965799026,0.0030054852259643
-0.272,0.0858233098863274,0.00311015935458077
-0.271,0.0873158471160619,0.00321826908956291
-0.27,0.0888275969374481,0.00332991762957301
-0.269,0.0903586449537569,0.00344521084641245
-0.268,0.0919090736522362,0.00356425733561995
-0.267,0.0934789623549564,0.00368716846721218
-0.266,0.0950683871715124,0.00381405843652588
-0.265,0.096677420953643,0.00394504431511881
-0.264,0.0983061332518219,0.00408024610168503
-0.263,0.0999545902738766,0.00421978677293807
-0.262,0.101622854845684,0.00436379233441362
-0.261,0.103310986373995,0.00451239187114156
-0.26,0.105019040811432,0.00466571759813508
-0.259,0.106747070623705,0.00482390491064295
-0.258,0.108495124759093,0.00498709243410877
-0.257,0.110263248620208,0.00515542207377959
-0.256,0.112051484038115,0.00532903906390389
-0.255,0.113859869248793,0.00550809201645752
-0.254,0.115688438872017,0.00569273296933401
-0.253,0.117537223892637,0.0058831174339341
-0.252,0.119406251644319,0.00607940444208744
-0.251,0.121295545795746,0.00628175659223773
-0.25,0.123205126339297,0.0064903400948208
-0.249,0.125135009582219,0.00670532481676373
-0.248,0.127085208140314,0.00692688432503126
-0.247,0.129055730934124,0.00715519592914442
-0.246,0.131046583187638,0.00739044072259486
-0.245,0.133057766429508,0.00763280362307688
-0.244,0.135089278496782,0.0078824734114581
-0.243,0.137141113541132,0.00813964276940838
-0.242,0.139213262037582,0.00840450831560557
-0.241,0.141305710795712,0.0086772706404357
-0.24,0.143418442973326,0.00895813433910436
-0.239,0.14555143809256,0.00924730804307532
-0.238,0.147704672058415,0.00954500444975179
-0.237,0.149878117179675,0.00985144035031524
-0.236,0.152071742192194,0.0101668366556363
-0.235,0.154285512284511,0.0104914184201725
-0.234,0.156519389125761,0.0108254148637664
-0.233,0.158773330895841,0.01116905939126
-0.232,0.161047292317789,0.0115225896098385
-0.231,0.163341224692341,0.0118862473440204
-0.23,0.165655075934608,0.012260278648208
-0.229,0.167988790612824,0.0126449338167175
-0.228,0.170342309989127,0.0130404673912034
-0.227,0.172715572062305,0.0134471381653987
-0.226,0.175108511612456,0.0138652091870905
-0.225,0.177521060247502,0.0142949477572522
-0.224,0.179953146451506,0.0147366254262571
-0.223,0.182404695634715,0.015190517987099
-0.222,0.184875630185277,0.0156569054655478
-0.221,0.187365869522561,0.0161360721071707
-0.22,0.189875330152023,0.0166283063611519
-0.219,0.192403925721528,0.0171339008608482
-0.218,0.194951567079089,0.0176531524010179
-0.217,0.197518162331926,0.0181863619116673
-0.216,0.200103616906787,0.0187338344284598
-0.215,0.202707833611464,0.0192958790596385
-0.214,0.205330712697415,0.0198728089494149
-0.213,0.207972151923431,0.0204649412377841
-0.212,0.210632046620274,0.0210725970167255
-0.211,0.213310289756207,0.0216961012827604
-0.21,0.216006772003349,0.0223357828858346
-0.209,0.218721381804766,0.0229919744745051
-0.208,0.221454005442248,0.0236650124374129
-0.207,0.224204527104678,0.0243552368410281
-0.206,0.226972828956926,0.0250629913636618
-0.205,0.229758791209197,0.025788623225742
-0.204,0.232562292186762,0.0265324831163597
-0.203,0.235383208399995,0.0272949251160935
-0.202,0.238221414614652,0.0280763066161313
-0.201,0.241076783922309,0.0288769882337104
-0.2,0.243949187810912,0.0296973337239055
-0.199,0.246838496235349,0.0305377098878002
-0.198,0.249744577687991,0.0313984864770834
-0.197,0.25266729926913,0.0322800360951192
-0.196,0.255606526757255,0.033182734094545
-0.195,0.2585621246791,0.0341069584714598
-0.194,0.261533956379401,0.0350530897562699
-0.193,0.264521884090307,0.0360215109012666
-0.192,0.267525769000386,0.0370126071650184
-0.191,0.270545471323168,0.0380267659936629
-0.19,0.273580850365168,0.0390643768991947
-0.189,0.276631764593344,0.040125831334848
-0.188,0.279698071701932,0.0412115225676811
-0.187,0.282779628678611,0.0423218455484754
-0.186,0.285876291869954,0.0434571967790671
-0.185,0.28898791704611,0.0446179741772368
-0.184,0.29211435946469,0.045804576939286
-0.183,0.295255473933797,0.0470174054004363
