date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive
2020-12-30,0.9339482836658517,0.9286021956565315,0.9393148511756158,0.9984596845375492,1.0039701749289265,0.9929693947528072,0.984109057039894,0.9306835200757969,1.037534594003991,0.9267767784448815,0.9214615687213356,0.9320919881684274,1.0298152532307245,0.9523374591737249,1.1212521155943687,0.9252660601753128,0.7902764466799597,1.063577785643198,0.874,0.767,0.988
2020-12-31,0.9994974910552314,0.9939230266316361,1.005092759717738,1.0236334922742192,1.0292367635475907,1.0180505945293963,0.9841670231586487,0.9325454411564008,1.0357886051608967,0.9901265784075536,0.9845940620335436,0.9956590947815636,1.034525222720588,0.9569880325492799,1.124957618823518,0.8404838345291261,0.7031510563987964,0.9761609728679096,0.871,0.771,0.988
2021-01-01,1.1108059787866895,1.1049317683802016,1.1167009719891927,1.0434182315185354,1.0490822207697423,1.0377746656185667,0.9782932269320624,0.927818117972363,1.0287683358917619,1.1158139100962186,1.1099027673061708,1.1217250528862663,1.0333921039583287,0.9550836322539453,1.1233204659837852,0.7924136032623502,0.6518298780102935,0.9299603339930574,0.868,0.768,0.97
2021-01-02,1.1248922578554659,1.1190765443711963,1.130728085591745,1.05499456140514,1.0606809551447731,1.049328527548093,0.9678106139536631,0.917486302530898,1.0181349253764282,1.1780627737526475,1.171961624396027,1.184163923109268,1.0269629400175326,0.9492164717553199,1.1140866871411372,0.8442946370907075,0.7079742528902631,0.9806305753800976,0.863,0.767,0.968
2021-01-03,1.0810738314950767,1.0754784360602594,1.0866886008139884,1.056426590143192,1.0620952969514574,1.0507780896552312,0.9541115954978938,0.9034846463782861,1.0047385446175017,1.1739699066192768,1.1678831717846254,1.1800566414539282,1.0136879517668538,0.9365703926574832,1.09465150910715,0.9389073065284996,0.8033653052872403,1.07466757847759,0.861,0.767,0.962
2021-01-04,1.0507943729229854,1.0453410107501326,1.0562666683598978,1.046836337243781,1.0524498047439912,1.04124286574884,0.939020180143037,0.8881836912459468,0.9898566690401273,1.1497431632050406,1.1437659125895927,1.1557204138204884,0.9967963049073256,0.9216850437155042,1.0751655485089857,1.0241761532124614,0.8888696414768221,1.1609522337657592,0.865,0.768,0.973
2021-01-05,1.0030189489409413,0.9977240403224972,1.008332557847259,1.0270890945810371,1.0326177586177743,1.0215801996020364,0.9244362557894056,0.8738347847537364,0.9750377268250747,1.0829025297587112,1.0771758125549242,1.088629246962498,0.977986746541921,0.9037190110687324,1.0531890859887645,1.0924581801551758,0.9568577274514676,1.2321242690527283,0.862,0.771,0.967
2021-01-06,0.9772601996052155,0.9720315153758424,0.9825076008184531,0.9997086517628025,1.0051353929914617,0.994301478485292,0.9113667977447824,0.8614764394209519,0.9612571560686128,1.0238305579168963,1.0183428910628831,1.0293182247709094,0.9573602261060703,0.8851790237553113,1.0298413639648025,1.1029830784895949,0.965327621951644,1.2394800236948136,0.86,0.767,0.964
2021-01-07,0.9454787138001252,0.9403136309652197,0.9506626764100644,0.9689312445980035,0.974255390229504,0.963626531449327,0.9005819036622201,0.85126266697687,0.9499011403475702,0.9569725095811251,0.9517350719253669,0.9622099472368834,0.9359683690664008,0.8633670713253451,1.0093743094770793,1.1127822045747129,0.9768178607338012,1.2480543693440789,0.859,0.756,0.971
2021-01-08,0.916133160518983,0.9110066238087142,0.9212788937351868,0.9391632622780641,0.9444000704327001,0.9339458491437191,0.8925385654784739,0.843182816012243,0.9418943149447048,0.8959685483941254,0.8909454522280361,0.9009916445602147,0.9166092492637736,0.8409652909375328,0.990018337317961,1.0954153582869104,0.9617898376319504,1.232181739639164,0.855,0.76,0.974
2021-01-09,0.9150271554868188,0.9098405824786082,0.9202334019532841,0.9132536738005819,0.9184286960663679,0.9080981277663549,0.887493162088499,0.8376346795509767,0.9373516446260214,0.8677763219607454,0.8628482376592019,0.8727044062622888,0.8990555552967525,0.8212038266104065,0.9717047806564004,1.0352827447383972,0.900443156826996,1.1714230612066088,0.856,0.754,0.966
2021-01-10,0.9230998673554892,0.9178267492996343,0.928393143662576,0.8924425496115098,0.8975855327740182,0.8873192495769083,0.8860687234763135,0.8358639554498045,0.9362734915028225,0.8590777532447481,0.8541609645298996,0.8639945419595966,0.8841032952660424,0.8023004689535433,0.9573825079163875,0.980806901281066,0.8460606425021078,1.1146937322188215,0.857,0.755,0.967
2021-01-11,0.9076904269282411,0.9024072780315303,0.9129941558512699,0.8771966194477222,0.8823379509316991,0.8720752990249971,0.8876919688412251,0.8378840579851554,0.9374998796972949,0.8422746705550943,0.8373627100191382,0.8471866310910504,0.8719378599795504,0.7921524826182493,0.9422024719678748,0.9493933308586614,0.8145035373661975,1.086258882443609,0.859,0.757,0.968
2021-01-12,0.8957137913967345,0.8904021481975443,0.9010465169160957,0.8672374227819593,0.8724051341415703,0.8620901592034931,0.8911474948013122,0.8427490604239813,0.939545929178643,0.8330642952866321,0.8281143523786452,0.838014238194619,0.8623512730636365,0.7860728641865075,0.933345097759661,0.9155072399593048,0.7786661545601985,1.050408206761782,0.858,0.759,0.967
2021-01-13,0.8821968037855737,0.8768518405504383,0.8875634436259456,0.8619081613442873,0.867126331452926,0.85671096786442,0.8955428290550586,0.8495112817035957,0.9415743764065214,0.8225822024041857,0.8175883078908603,0.827576096917511,0.8573934630455438,0.782492240915735,0.9252213128083221,0.9007997603452128,0.7609791112492372,1.0368038073576604,0.86,0.766,0.976
2021-01-14,0.8782487199814881,0.8728319407017946,0.8836878639972997,0.8599413543478117,0.8652280181130817,0.8546762694094153,0.8998467117390873,0.8560621165289388,0.9436313069492357,0.8194239498602204,0.814359538238008,0.8244883614824328,0.8538802387070439,0.7809725998165713,0.9242491776586184,0.8947135148656624,0.7568753438092427,1.0294627420795188,0.864,0.765,0.975
2021-01-15,0.8778537997455569,0.8723506839016072,0.8833800108875294,0.8596273984032894,0.8649930821007729,0.8542839501620755,0.9033189182760201,0.8603303335331733,0.9463075030188668,0.8199530347260376,0.8148020894484667,0.8251039800036086,0.852943743627234,0.7837520523595454,0.9228008765432004,0.8907547788032046,0.7549237299048439,1.02584093923203,0.866,0.776,0.97
